target,Group,tetracorder_file
Alunite,group.2um,alunite+musc+pyroph
Alunite,group.2um,alunite.33+kaol.33+musc.33
Alunite,group.2um,alunite.5+kaol.5
Alunite,group.2um,alunite.5+musc.5
Alunite,group.2um,Kalun+kaol.intmx
Alunite,group.2um,Na-alun+kaol.intmx
Alunite,group.2um,sulfate_alun35K65Na.low
Alunite,group.2um,sulfate_alun66K34Na.low
Alunite,group.2um,sulfate_alun73K27Na.low
Alunite,group.2um,sulfate_ammonalunite
Alunite,group.2um,kaol.75+alun.25
Alunite,group.2um,alunite+pyrophyl
Alunite,group.2um,pyroph.5+alunit.5
Alunite,group.2um,sulfate+kaolingrp_natroalun+dickite
Alunite,group.2um,sulfate_alunNa03
Alunite,group.2um,sulfate_alunNa56450c
Alunite,group.2um,sulfate_alunNa78.450c
Alunite,group.2um,sulfate_kalun150c
Alunite,group.2um,sulfate_kalun250c
Alunite,group.2um,sulfate_kalun450c
Alunite,group.2um,sulfate_na40alun400c
Alunite,group.2um,sulfate_na63alun300c
Alunite,group.2um,sulfate_na82alun100c
Alunite,group.2um,sulfate_naalun150c
Alunite,group.2um,sulfate_naalun300c
Alunite,group.2um,sulfate_naalun450c
Buddingtonite,group.2um,feldspar_buddington.namont
Buddingtonite,group.2um,feldspar_buddington.namont2
Buddingtonite,group.2um,feldspar_buddingtonite_ammonium
Calcite,group.2um,carbonate_calcite+0.2Ca-mont
Calcite,group.2um,carbonate_calcite0.7+kaol0.3
Calcite,group.2um,talc+calcite.parkcity
Calcite,group.2um,calcite.25+dolom.25+Na-mont.5
Calcite,group.2um,carbonate_calcite.25+dolom.25+Ca-mont.5
Calcite,group.2um,carbonate_smectite_calcite.33+Ca-mont.67
Calcite,group.2um,carbonate_calcite+0.3muscovite
Calcite,group.2um,calcite+0.5Ca-mont
Calcite,group.2um,carbonate_calcite+dolomite.5
Calcite,group.2um,calcite+0.2Na-mont
Calcite,group.2um,carbonate_calcite+0.2kaolwxl
Calcite,group.2um,talc+carbonate.parkcity
Calcite,group.2um,carbonate_calcite
Chlorite,group.2um,prehnite+.50chlorite
Chlorite,group.2um,prehnite+.67chlorite
Chlorite,group.2um,prehnite+.75chlorite
Chlorite,group.2um,chlorite-skarn
Chlorite,group.2um,muscovite+chlorite
Chlorite,group.2um,chlorite
Chlorite,group.2um,chlorite_clinochlore
Chlorite,group.2um,chlorite_clinochlore.fe.gds157
Chlorite,group.2um,chlorite_clinochlore.fe.sc-cca-1
Chlorite,group.2um,chlorite_clinochlore.nmnh83369
Chlorite,group.2um,chlorite_cookeite-car-1.a
Chlorite,group.2um,chlorite_cookeite-car-1.c
Chlorite,group.2um,chlorite_thuringite
Dickite,group.2um,dick+musc+gyp+jar.amix
Dickite,group.2um,musc+gyp+jar+dick.amix
Dickite,group.2um,sulfate-mix_gyp+jar+musc+dick.amix
Dickite,group.2um,sulfate+kaolingrp_natroalun+dickite
Dickite,group.2um,kaolgrp_dickite
Dolomite,group.2um,calcite.25+dolom.25+Na-mont.5
Dolomite,group.2um,carbonate_calcite.25+dolom.25+Ca-mont.5
Dolomite,group.2um,carbonate_calcite+dolomite.5
Dolomite,group.2um,carbonate_dolo+.5ca-mont
Dolomite,group.2um,carbonate_dolomite.5+Na-mont.5
Dolomite,group.2um,talc+carbonate.parkcity
Dolomite,group.2um,carbonate_dolomite
Epidote,group.1um,epidote
Epidote,group.2um,epidote
Epidote,group.1um,fe2+generic_br33a_bioqtzmonz_epidote
Goethite,group.1um,fe3+_goethite.thincoat
Goethite,group.1um,fe2+fe3+_chlor+goeth.propylzone
Goethite,group.1um,fe3+_goethite+qtz.medgr.gds240
Goethite,group.1um,fe2+_goeth+musc
Goethite,group.1um,fe3+_goeth+jarosite
Goethite,group.1um,fe3+_goethite.coarsegr
Goethite,group.1um,fe3+_goethite.fingr
Goethite,group.1um,fe3+_goethite.lepidocrosite
