target,group_name,Material Number,MaterialID,Output Name,tetracorder_file,Spectral Library file,Chapter,Library Spectrum TITLE,Library
Alunite,group.2um,139,,sulfate K-alunite (Na03) GDS84 high temp,sulfate_alunNa03,sl1/usgs/library06/ASCII/M/alunite_gds84.1187.asc,M,Alunite GDS84 Na03           W2R4Na,splib06
Alunite,group.2um,140,,sulfate alunite syn Na56% RES10 (450C),sulfate_alunNa56450c,sl1/usgs/library06/ASCII/M/alunite_res10.1624.asc,M,Alunite RES10 NA56% Syn 450C W2R4Na,splib06
Alunite,group.2um,141,,sulfate alunite syn Na78% RES12 (450C),sulfate_alunNa78.450c,sl1/usgs/library06/ASCII/M/alunite_res12.1663.asc,M,Alunite RES12 NA78% Syn 450C W2R4NaIS,splib06
Alunite,group.2um,129,,sulfate K-alunite 150C,sulfate_kalun150c,sl1/usgs/library06/ASCII/M/alunite_gds97.1347.asc,M,Alunite GDS97 K  Syn (150C)  W2R4Na,splib06
Alunite,group.2um,130,,sulfate K-alunite GDS96 250C,sulfate_kalun250c,sl1/usgs/library06/ASCII/M/alunite_gds96.1308.asc,M,Alunite GDS96 K  Syn (250C)  W2R4Na,splib06
Alunite,group.2um,131,,sulfate K-alunite RES-2 450C,sulfate_kalun450c,sl1/usgs/library06/ASCII/M/alunite_res2.1468.asc,M,Alunite RES-2 K Syn (450C)   W2R4Na,splib06
Alunite,group.2um,138,,sulfate alunite RES-9 Summitv 400C,sulfate_na40alun400c,sl1/usgs/library06/ASCII/M/alunite_res9.1585.asc,M,Alunite RES-9 Summitv (400C) W2R4Nb,splib06
Alunite,group.2um,137,,sulfate alunite GDS83 Na63,sulfate_na63alun300c,sl1/usgs/library06/ASCII/M/alunite_gds83.1079.asc,M,Alunite GDS83 Na63           W1R1Bb,splib06
Alunite,group.2um,135,,sulfate alunite GDS82 Na82 low temp,sulfate_na82alun100c,sl1/usgs/library06/ASCII/M/alunite_gds82.1063.asc,M,Alunite GDS82 Na82  ,splib06
Alunite,group.2um,132,,sulfate Na-alunite GDS95 150C,sulfate_naalun150c,sl1/usgs/library06/ASCII/M/alunite_gds95.1269.asc,M,Alunite GDS95 Na Syn (150C),splib06
Alunite,group.2um,133,,sulfate Na-alunite RES-4 300C,sulfate_naalun300c,sl1/usgs/library06/ASCII/M/alunite_res4.1546.asc,M,Alunite RES-4 Na Syn (300C),splib06
Alunite,group.2um,134,,sulfate Na-alunite RES-3 450C,sulfate_naalun450c,sl1/usgs/library06/ASCII/M/alunite_res3.1507.asc,M,Alunite RES-3 Na Syn (450C)  W2R4Na,splib06
Buddingtonite,group.2um,137,,feldspar buddingtonite GDS85 D-206,feldspar_buddingtonite_ammonium,sl1/usgs/library06/ASCII/M/buddingtonite_gds85.3924.asc,M,Buddingtonite GDS85 D-206    W1R1Bb,splib06
Calcite,group.2um,233,,carbonate calcite 2.5u WS272,carbonate_calcite,sl1/usgs/library06/ASCII/M/calcite_ws272.4159.asc,M,Calcite WS272                W1R1Ha,splib06
Chlorite,group.2um,208,,chlorite SMR-13.b,chlorite,sl1/usgs/library06/ASCII/M/chlorite_smr13.4908.asc,M,Chlorite SMR-13.b 60-104um   W1R1Ba,splib06
Chlorite,group.2um,,,chlorite clinochlore GDS158,chlorite_clinochlore,sl1/usgs/library06/ASCII/M/clinochlore_gds158.5327.asc,M,Clinochlore GDS158 Flagst    W1R1Hb,splib06
Chlorite,group.2um,,,chlorite clinochlore GDS157,chlorite_clinochlore.fe.gds157,sl1/usgs/library06/ASCII/M/clinochlore_gds157.5542.asc,M,Clinochlore_Fe GDS157.b,splib06
Chlorite,group.2um,,,chlorite clinochlore Fe SC-CCa-1.b,chlorite_clinochlore.fe.sc-cca-1,sl1/usgs/library06/ASCII/M/clinochlore_sc-cca-1.5725.asc,M,Clinochlore_Fe SC-CCa-1.b =aa_,splib06
Chlorite,group.2um,,,chlorite clinochlore NMNH83369,chlorite_clinochlore.nmnh83369,sl1/usgs/library06/ASCII/M/clinochlore_nmnh83369.5457.asc,M,Clinochlore NMNH83369,splib06
Chlorite,group.2um,,,chlorite Cookeite CAr-1.a 104-150um =bb_,chlorite_cookeite-car-1.a,sl1/usgs/library06/ASCII/M/cookeite_car1.6074.asc,M,Cookeite CAr-1.a 104-150um =bb_,splib06
Chlorite,group.2um,,,chlorite Cookeite CAr-1.c <30um =cc_,chlorite_cookeite-car-1.c,sl1/usgs/library06/ASCII/M/cookeite_car1.6228.asc,M,Cookeite CAr-1.c <30um =cc_,splib06
