group_name,Expert System Material Number,MaterialID,Output Name,tetracorder_file,MixtureType,Targets,Dominant_Mineral,Description,Spectral Library file,Chapter,Library Spectrum TITLE,Library
group.2um,,,alunite .33 +kaolinite .33 +muscovite 0.33,alunite.33+kaol.33+musc.33,Areal,"Alunite, Kaolinite, Muscovite",none,Alun. 33% +Kaol 33% + Musc 33%,sl1/usgs/library06/ASCII/S/alun_kaol_musc_amx2.23855.asc,S,Alun.33+Kaol.33+Musc.33 AMX2 W1R1Ba,splib06
group.2um,,,alunite .5 +kaolinite KGa-1 .5areal,alunite.5+kaol.5,Areal,"Alunite, Kaolinite",none,"Alun. 50%, Kaol 50%",sl1/usgs/library06/ASCII/S/alun_kaol_amx3.24039.asc,S,Alunite0.5+Kaol_KGa-1 AMX3   W1R1Bb,splib06
group.2um,,,alunite .5 +muscovite CU91-250A areal,alunite.5+musc.5,Areal,"Alunite, Muscovite",none,50% Alun 50% Muscovite,sl1/usgs/library06/ASCII/S/alun_musc_amx4.23965.asc,S,Alunite.5+MuscCU91-250A AMX4 W1R1Ba,splib06
group.2um,,,alunite + muscovite + pyrophyllite,alunite+musc+pyroph,Areal,"Muscovite, Alunite, Pyrophyllite",Muscovite,40% Muscovite 30% Alunite 30% Pyroph,sl1/usgs/library06/ASCII/S/alun_musc_pyro_amx1.23867.asc,S,Alun0.3+Musc0.4+Pyro0.3 AMX1 W1R1Ba,splib06
group.2um,,,alunite + pyrophyllite SD1093A,alunite+pyrophyl,Intimate,"Alunite, Pyrophyllite",none,"Alunite, Pyrophyllite",sl1/usgs/library06/ASCII/S/alunite_mixture_sd1093a.23913.asc,S,Alunite+Pyrophyl SD1093A     W1R1Bb,splib06
group.2um,,,calcite.25+dolom.25+Na-mont.5,calcite.25+dolom.25+Na-mont.5,Areal,"Montmorillonite, Calcite, Dolomite",Montmorillonite,50% Montmorillonite 25% calcite 25% dolomite,sl1/usgs/library06/ASCII/S/calc_dolo_mont_amx18.24480.asc,S,Calc.25+dolo.25+mont.5 AMX18 W1R1Bb,splib06
group.2um,,,carbonate calcite 80% +montmore Swy-1 GDS212,calcite+0.2Na-mont,Intimate,"Calcite, Montmorillonite",Calcite,80% Calcite,sl1/usgs/library06/ASCII/S/calcite_mixture_gds212.24644.asc,S,Calcite.80+Mont_Swy-1 GDS212 W1R1Ba,splib06
group.2um,,,calcite + 50% Ca-mont areal,calcite+0.5Ca-mont,Areal,"Calcite, Montmorillonite",none,50% Calcite and 50% Ca-Montmorillonite,sl1/usgs/library06/ASCII/S/calc_mont_amx6.24507.asc,S,Calcite+.50Ca-Mont AMX6      W1R1Bb,splib06
group.2um,,,carbonate calcite.25+dolom.25+Ca-mont.5,carbonate_calcite.25+dolom.25+Ca-mont.5,Areal,"Montmorillonite, Calcite, Dolomite",Montmorillonite,50% Montmorillonite 25% calcite 25% dolomite,sl1/usgs/library06/ASCII/S/calc_dolo_mont_amx7.24466.asc,S,Calc.25+Dolo.25+Ca-Mon AMX7  W1R1Bb,splib06
group.2um,,,carbonate calcite 0.8 + montmorillonite 0.2  AMX15,carbonate_calcite+0.2Ca-mont,Areal,"Calcite, Montmorillonite",Calcite,80% Calcite,sl1/usgs/library06/ASCII/S/mont_calc_amx15.24629.asc,S,Calcite.8+Ca-Montmor.2 AMX15 W1R1BbS,splib06
